objectid,title,description,date,identifier,format,source
mem020,Collective Box,"DG 201: John Dears drivers license, Red Cross-World Trade Center ID Card, Button ""Team Red Cross"", Pax Christi Demonstration ribbons
DG 207: School of the Americas watch Record
DG 208: Borosilicate glass with explanation of what it is and its benefits
DG 212: Plaque printed in Madrid (Spain) to John McConnell, 1996
DG 216: Peace Crane made from tax returns
DG 218: Cloth patch ""Reach for Peace"" with graphic of children holding up the globe
DG 222: Pin
DG 222: Euro Coin from 2002, Austria, one side features Bertha von Sutter
DG 222: name tags from NATO Womens Peace Force and Soveit Union
DG 222: Matchbook talking about the need and methods that must be used to bring POWs home Vietnam Era
DG 225: Constitution of Japan flag, Internation Citizens Congress for a Nuclear Test Ban flag
DG 233: press passes
DG 233: Mirror with text on other side: ""The best man for a job... may be a woman""
DG 233: Metal Peace medallion
DG 233: Small hand-sign ""women say no! to war
DG 236: 2 Paper dolls from Japan
ALL DG 222 ARE CORA WEISS
ALL DG 233 ARE DOROTHY MARDER
",,,,
mem021,Collective Box,"Miscellaneous memorabilia from various collections including DG 207: two sets of handed knitted baby booties
Alliance for Nuclear Accountability
DG 253: Military Families Speak Out magnet ""bring them home""
Speak now of forever hold America's nuclear waste baseball hat
N Reactor Baseball hat
NTS Historical Foundation baseball hat
DG 250: Metal lifted from the Nevada test site
Bring them home now bracelet
Unopened Cap Bomb
Mound Museum Historical Playing Cards
Alliance For Nuclear Accountability tote
DG 250: Metal shovel keychain
DG 242: Delaware County Pledge of Resistance Records, Painted wooden plaque from Central America
DG 250: NASA Y12 souvenir Visitor Badge
DG 240: Veterans for Peace Inc. Records, pin
Hiroshima Nagasaki In Memoriam flag
DG 250: Alliance for Nuclear Accountability Records, white sock with black text ""on earth peace""
DG 250: Alliance for Nuclear Accountability Records Anti-nuclear patches
DG 260: C. Douglas Hostetter name tag and ribbon for SCLC
DG 250: Fernald Closure Project info card
DG 250: Alliance for nuclear accountability records paper crane
DG 250: another paper crane
Green ""the war is over"" pin
DG 250: Vietnamese name tag
DG 253: Military families speak out card
embroiered napkin
DG 250: Savannah river site-waste tank levels
Dg 266: Duncan B Murphy-Cloth patch with medical emblem
Nuclear Waste Disposal information card
DG 250: Leadership in Developing New Environmental Technologies information card
Dg 217: The Body Shop tote bag ""Supports Peace as a Human Right""
Canvas Banner
Virginia License Plate
DG 217: Sugar packets with images of Jane addams, harriet Tubman, Susan B. Anthony, Carry Nation, Clara Barton
DG 250: Ionizing Radiation Dose Ranges double sided
DG 203: Pages from autograph book ""what's your vision of peace?""",,,,
mem022,Collective Box,cloth items (including item #s 0109-0111,,,,
mem023,Collective Box,"Ben and Jerry's ""imagine swirled peace"" carton and a Peace tea can",ca 2014-2015,,,
mem024,Committee for Nonviolent Action Records,"Financial Ledger for Non-Violent Action Against Nuclear Weapons, 1957 (December. 23)-1959 (Jan. 14) [predecessor of CNVA]",,,,
mem025,Cora Weiss Papers,,,,,
mem026,Deborah Jacoby,"*Plaque ""In Appreciation of servie to Monmoth Community Action Program May 1, 1967""
*Plaque Monmouth Campaign for Nuclear Disarmament Peacemaker of the Year 1989
*Peace-March canvas bag ""Peace-March Paris-81 Moskva-82 Washington-83""",,/repositories/8/resources/11230,,
mem027,Devere Allen Papers,63 metal printer's block engraving plates donated by Charles Chatfield,,,MEM DG 053 Box 5,
mem028,Devere Allen Papers,Printers' blocks used in publications (box 1),,,MEM DG 053 Box 1,
mem029,Devere Allen Papers,Printers' blocks used in publications (box 2),,,MEM DG 053 Box 2,
mem030,Devere Allen Papers,Printers' blocks used in publications (box 3),,,MEM DG 053 Box 3,
mem031,Devere Allen Papers,Printers' blocks used in publications (box 4),,,MEM DG 053 Box 4,
mem032,Devere Allen Papers,Printer's block of Marie Allen's drawing for a Christmas card,1936,,MEM DG 053 Box 6,Paper-wrapped: no container
mem033,E. Raymond Wilson Papers,"Awards, certificates, autographs, and other personal items",,,,
mem034,"Elkinton Family Doukhobor Papers
","Scrapbook ""Doukhboritsi"" (vol. I), compiled by Joseph S. Elkinton",1884-1899,,,
mem035,"Elkinton Family Doukhobor Papers
","Scrapbook ""Doukhboritsi"" (vol. II), compiled by Joseph S. Elkinton",1899-1902,,,
mem036,"Elkinton Family Doukhobor Papers
","Scrapbook ""Doukhboritsi"" (vol. III), compiled by Joseph S. Elkinton",1900-1904,,,
mem037,"Elkinton Family Doukhobor Papers
","Scrapbook ""Doukhboritsi"" (vol. IV), compiled by Joseph S. Elkinton",1897-1903,,,
mem038,Fellowship of Reconciliation (U.S.) Records,Linoleum cuts made by 7th grade Bosnian students [from the Papers of Doug Hostetter (Bosnian Student Project)].,ca. 1995,/repositories/8/resources/7041,,
mem039,Fellowship of Reconciliation (U.S.) Records,Books of prints from linoleum cuts made by Bosnian Students [from the Papers of Doug Hostetter (Bosnian Student Project)].,ca. 1995,/repositories/8/resources/7041,,
mem040,Friends Committee on National Legislation Records,"Financial Ledger, 1943-1944",,,,
mem041,Friends Committee on National Legislation Records,"Financial Ledger, 1944-1945",,,,
mem042,Friends Committee on National Legislation Records,"Financial Ledger, 1945-1946",,,,
mem043,Friends Committee on National Legislation Records,"Financial Ledger, 1946-1948",,,,
mem044,Friends Committee on National Legislation Records,"Finanial Ledger, 1978",,,,
mem045,"Gandhi, Mohandas K., 1919-","India: Gandhi, negatives taken by one of Gandhis family members",,,,
mem046,George Willoughby and Lillian Willoughby Papers,Stoles and hats ,1995,,,
mem047,Great Peace March for Global Nuclear Disarmament Records,Keys to cities given to marchers,,,,Heavy - Handle with Care
mem048,Great Peace March for Global Nuclear Disarmament Records," misc cloth items. Ribbon from demo at Reflecting Pool, Washington, DC 1986 ",,,,
mem049,Great Peace March for Global Nuclear Disarmament Records,Ribbon on spool,,,,On display in Reading Room 2024-09
mem050,Great Peace March for Global Nuclear Disarmament Records,Ribbon pieces,,,,
mem051,Great Peace March for Global Nuclear Disarmament Records,Proclamation from the City of Los Angeles,,,,
mem052,Great Peace March for Global Nuclear Disarmament Records,"Miscellaneous items (including proclamations, plaques, sculptures, and letters)",,,,
mem053,Great Peace March for Global Nuclear Disarmament Records,"Wooden keys, fake dynamite and other items given to marchers ",,,,
mem054,"Greenham Common Women's Peace Camp, 1981-1991",Two pieces of fencing from Greenham,,/repositories/8/resources/11239,MEM CDGB Great Britain box 2,
mem055,Hannah J. Bailey Papers,Hannah J. Bailey's wedding dress shirtwaist.,,/repositories/8/resources/6967,,
mem056,Hannah J. Bailey Papers,Guest book.,,/repositories/8/resources/6967,,
mem057,Hannah J. Bailey Papers,Cups and saucers inscribed with names of Hannah Bailey and Moses Bailey.,,/repositories/8/resources/6967,,
mem058,Homer A. Jack Papers,"Awards given to Homer A. Jack. (Peace and Justice award, Peace through Religion, Defender of Peace.) ","1992, 1976, 1987",,,
mem059,Horace Gundry Alexander Papers,"Wooden box made at Tagore school, containing small flag and Gandhi cap",,,,
mem060,International Peace Walk Records,"Gift from citizens of Moscow, Iowa ",1988,,,
mem061,International Peace Walk Records,Miscellaneous items (including flags),,,,
mem062,Jane Addams Papers,"Miscellaneous memorabilia and ephemera, including medals and medallions, an empty tomato can, a key to Cedar Creek mill, and a sugar packet depicting Jane Addams' face.",,/repositories/8/resources/7421,Box: DG 001: Memorabilia: 1,Found in memorabilia series 2023-09-28
mem063,Jane Addams Papers,"Gourd dolls (6 small, 1 large) made by Mary Phillips, depicting Jane Addams and six children of Hull-House in Chicago.",,/repositories/8/resources/7421,Box: DG 001: Memorabilia: 3,Found in memorabilia series 2023-09-28
mem064,Jane Addams Papers,Various editions of Little Blue Book.,,/repositories/8/resources/7421,,Found in memorabilia series 2023-09-28
mem065,Jane Addams Papers,"""A tribute to Jane Addams"" –– from the German Red Cross ",1921,/repositories/8/resources/7421,,Found in memorabilia series 2023-09-28
mem066,Jane Addams Papers,Steel plate engraving of John H. Addams.,,/repositories/8/resources/7421,,Found in memorabilia series 2023-09-28
mem067,Jewish Women's Committee to End the Occupation of the West Bank and Gaza,Tear gas canister and rubber bullets used by IDF in the West Bank,,/repositories/8/resources/11230,,RM added a file and basic description about these items to archivespace record
mem068,John McConnell Papers,"Seal, rubber stamps.",,,,
mem069,Juanita Nelson and Wallace F. Nelson Papers,"Miscellaneous items, including an award (Earth Day 2006), a leather hat, a record book, and a photo",2006,,,added to finding aid 3/30/23
mem070,Lake Mohonk Conferences on International Arbitration Records,Metal engraving plates,,,,
mem071,Lake Mohonk Conferences on International Arbitration Records,Metal Engraving Plates,,,,
mem072,Lawrence Scott Papers,Bell and glass from burned Mississippi churches ,,,,
mem073,"Lester, Muriel, 1926-1968",Undated photographic plate,,/repositories/8/resources/11239,MEM CDGB Great Britain box 1,
mem074,Louis A. Friedman Papers,Miscellaneous items (including flags and memorabilia related to 1980s-era US-Soviet Peace efforts),1980s,,,
mem075,Marguerite and Richard Tirk,"Canvas hat with patches: USA flag; War is not healthy for children and other things; Peace symbol; National Audubon Society. Printed publication: Unvanquished, We March; Hibaku Fujin No Tsudoi; Aug. 1976; No. 3. Cloth saddle bag. Paddle shapped sign or drum with attached wood stick; Japanese characters with Tirk's name on the back and no. 29.",,/repositories/8/resources/11230,,
mem076,Marguerite and Richard Tirk,Memorabilia; One Thousand Cranes from the Oosaku Women Hibakuska (wounded by the Bomb) Japan from Margarite Tirk,,/repositories/8/resources/11230,,
mem077,Marion Bromley and Ernest Bromley Papers,Three personalized wallets ,,,,
mem078,Mildred Scott Olmsted Papers,"""Memory Box""",,,,
mem079,Mildred Scott Olmsted Papers,Replica of Liberty Bell,,,,
mem080,Mildred Scott Olmsted Papers,oil painting of Mildred Scott Olmstead,,,,
mem081,Milton Lowenthal Papers,"Milton Lowenthal Papers, Citations, etc. ",,,,
mem082,Milton Lowenthal Papers,"Miscellaneous items (including proclamations, clippings, a certificate designating the International Philosophers for the Prevention of Nuclear Omnicide as Peace Messengers, a picture book of the aftermath of the bombing of Hiroshima, a ""Nixon now!"" fan, a plastic bag from a 1988 USA-Japanese Summit, a paper crane necklace, and exhibit materials from Kazuaki Kita)",,,,
mem083,Murray Polner Papers,,,,,
mem084,National Council for Prevention of War Records,Metal press of the National Council for Prevention of War Records's logo. ,,,,
mem085,New Society Publishers Records,"Miscellaneous items (including stamps, labels, and suspenders given to Barbara Hirshkowitz)",,,,
mem086,"No More War Movement, 1922-1936",Undated photographic plate,,/repositories/8/resources/11239,,
mem087,Not found,Sara J. Willowbee,,/repositories/8/resources/11230,,
mem088,Not found,"Award given by the Sector Commanders Forum-Liberation War '71, December 2011",,/repositories/8/resources/11230,,
mem089,Not found,"CDGs/Misc./Subject File, large items",,,,
mem090,Not found,"cloth items (including item #s 0100, 0102-0107)",,,,
mem091,Not found,"Oil painting, ""Aimes Vous Les Uns Les Autre' by Howard S. Hoffman, 2004",,,,
mem092,Not found,,,,,
mem093,Not found,"Miscellaneous items (including a balloon from the War Resisters League ""Blow Up Balloons Not People""  (1986), a  Philadelphia Detention Center bracelet, a bullet from a WWI French battlefield, a steel-cut design on a woodblock by Franz Demarlier (1947), a fabric arm band)",,,MEM DG 000-DG 099,
mem094,Not found,"*Piece of Shrapnel on card, with photo of a Zepplin (?) and newsclipping re: 2 brothers killed in a Zepplin ca 1916 from Gillet Scrapbook
*Christmas tree decorations
*Paper badge from presidential campaign 1952
*Replica of Nobel Peace Prize
* Tag ""Refuse to be drafted"" ca. WWII
*2 bubble gum wrappers with cards ""Horrors of war"" circa 1938 by Gum Inc. Philadelphia Pa.
*Colored sign: Bart Simpson making peace sign saying ""peace dude""
*Metal plate with text ""Peace""
*Homemade sign Ca. 2000-2015
*Gold medallion: Side view of womans face, possible (No hard evidence whatsoever) Jane Adams
* United Nations Peace Medal, 1947
*Patch, Acc 09A-039
*Fake money with George Bush's picture 2004
*""Freedom Bracelet"" made of yarn woven by Tibetan Nuns Project
* Small card ""End the War Now Local 1199""
*Car magnet with text ""Cultivate Peace"" made by The Hunger Site, 2005 [ac. 05A-013",,,,
mem095,Not found,"Glass paperweight ""NO MORE WAR""",,,,
mem096,Not found,Printing blocks: photos of A.J. Muste,,,,
mem097,Not found,Portrait of Frederick J. Libby by Mary Ann Walburn; painted from photograph; winter 1973-1974,,,,
mem098,Not found,Board game: World Without War ,,,,
mem099,Not found,Peace prizes and awards; Nobel Peace Prize mug,,,,
mem100,Not found,"Item #0058, Portrait of A.J. Muste by Sidney Chafetz, 23"" x 34"" black and white",,,,
mem101,Peace Pilgrim Papers,Toothbrush and other items used by Peace Pilgrim,,,,
mem102,Peace Pilgrim Papers,Clothing worn by Peace Pilgrim,,,,
mem103,Pennsylvania Committee for Total Disarmament Records,Printers' blocks and plates.,,,,added to finding aid 3/30/23
mem104,Pennsylvania Committee for Total Disarmament Records,Cash record of the Treasurer.,April 1931-June 1936,,,added to finding aid 3/30/23
mem105,Peoples Mandate Committee Records,"Commemoration booklet with signatures from Chilean women, undated. ",,,,
mem106,Philadelphia Committee in Solidarity With the People of El Salvador Records,Donation can from CISPES demonstration,,,,
mem107,Philadelphia Committee in Solidarity With the People of El Salvador Records,CISPES Miscellaneous items (including paper masks and Salvadoran keepsakes),,,,
mem108,Promoting Enduring Peace Records,"Radio for Peace International certificate of Appreciation awarded to Promoting Enduring Peace, Adin Ballou Peace Award presented to Howard and Alice Frazier","March 13, 1993",,,
mem109,Swarthmore College Peace Collection Records,Asa Watkins' Drawing # 38-59,,,,
mem110,Swarthmore College Peace Collection Records,Asa Watkins' Drawing #41-61,,,,
mem111,Swarthmore College Peace Collection Records,Asa Watkins' Drawings #1-19,,,,
mem112,Swarthmore College Peace Collection Records,Asa Watkins' Drawings #20-40,,,,
mem113,Swarthmore College Peace Collection Records,"Asa Watkins' Drawings Photos (8"" x 10"") and Negatives: #38-60",,,,
mem114,Swarthmore College Peace Collection Records,A replica of the Berlin Freedom Bell.,,/repositories/8/resources/11292,,
mem115,Swarthmore College Peace Collection Records,"Peace flags, Swarthmore College.",,,,
mem116,Universal Peace Union Records,"French Peace Medals presented to Alfred H. Love and the Universal Peace Union; medals, badges, and ticketbook from the St. Louis Exposition and the Rome Peace Congress.",,,,
mem117,Universal Peace Union Records,Two large 19th century wooden signs,,,,"As of 2024 one of them is displayed in the SCPC workroom, and one is possibly wrapped and resides above the unprocessed AV material in the SCPC workroom"
mem118,Universal Peace Union Records,One large 19th century wooden sign,,,,As of 2024 displayed in the Special Collections Reading Room
mem119,Universal Peace Union Records,Wooden photo frame made by Prisoner in Eastern Penitentiary and presented to A.H. Love.,,,,
mem120,Universal Peace Union Records,"""Scratch Book for Subscriptions.""",ca. 1885-1899,,,
mem121,Universal Peace Union Records,"Alfred H Love's leather briefcase and Hannah Bailey's ribbon souvenir from the World's Fair, Chicago, ",1893,,,
mem122,Universal Peace Union Records,Membership book ,1885-1920,,,
mem123,Victor Paschkis Papers,AAAS Scientific Freed and Responsibility Award,1986,,,
mem124,Walkabout Peace and Justice Records,Shoulderbag (with text in Thai) donated by Barbera Hirshkowitz,2007,,,
mem125,Women's International League for Peace and Freedom Records,Chester Branch. 2 glass bottles,,,,
mem126,Women's International League for Peace and Freedom Records,JAPA Award,,,,
mem127,Women's International League for Peace and Freedom Records,"Patches made by women for Hiroshima Memorial Quilt (Removed from backing, ca 1980s",,,,
mem128,Women's International League for Peace and Freedom Records,"Item #0058, Portrait of A.J. Muste by Sidney Chafetz, 23"" x 34"" black and white",,,,
mem129,Women's International League for Peace and Freedom Records,"Metal sign: ""Women's International League for Peace & Freedom Pennsylvania Branch"" 24.25 x 8.25 x 1.25""",,,,As of 2024 one is displayed in the SCPC workroom (above sink cabinets); one is wrapped
mem130,Women's International League for Peace and Freedom Records,Photograph album (with signatures) from Chicago meeting,1924,,,
mem131,Women's International League for Peace and Freedom Records,"Award Plaque and Photograph of Santa Cruz City Youth Soccer Team, (sponsored by WILPF branch)",2007,,,
mem132,Women's International League for Peace and Freedom Records,Origami Cranes ,,,,
mem133,"World Movement for World Federal Government [for CDG-B France, see Mouvement Universel pour une Confédération Mondiale]","Small bowl with text ""Stop War. The 20E Century Achievement. Mouvement Universal Pour Un Gouvernment Federal Mondial, Montreux, 1947""",1947,/repositories/8/resources/11239,,
mem134,Collective Box,"Cloth Items Collection: T-Shirts / Shirts, Box 29. Located on top of Mapcase 1 (bottom of basement ramp)",,,,
mem135,Collective Box,"Cloth Items Collection: Miscellaneous items, Box 30. Located on top of Mapcase 2",,,,
